accelerometer_X,accelerometer_Y,accelerometer_Z,id_name,id_file
-4.424484,-10.726024,-1.082179,3,2
0.646435,-0.641646,-1.04866,3,2
-1.623269,-6.603208,0.071826,3,2
-4.323928,-2.671929,3.485958,3,2
-5.228936,-3.557784,-0.038307,3,2
-3.08852,-14.130578,0.215478,3,2
-3.021482,-8.39886,1.312023,3,2
-11.238382,-12.018892,-2.762909,3,2
-0.488417,-9.356541,0.11971,3,2
-7.675811,-17.00362,-1.5466540000000002,3,2
-0.521936,0.708684,-5.0517650000000005,3,2
-3.715801,-5.645528,0.670377,3,2
-1.666364,-9.121908,-2.753332,3,2
-6.354211,-5.717354,-0.579397,3,2
-3.940856,-12.717999,5.971139,3,2
-1.240196,-10.414778,-1.173159,3,2
-10.228029,-14.465767,-1.867477,3,2
-1.043872,-13.603854,-3.600879,3,2
-6.411672,-11.836933,-3.883395,3,2
-10.070012,-15.049952,-13.517663,3,2
-7.929596000000001,-12.253524,-0.263362,3,2
-1.929727,-2.806004,-1.795651,3,2
-4.458003,-6.780378999999999,1.580173,3,2
-4.13718,-4.429273,-1.517924,3,2
1.82917,-9.313444,-0.3304,3,2
-7.350199000000001,-12.670115,-1.4604629999999998,3,2
3.969586,-6.320692,9.255983,3,2
1.7477669999999998,2.920926,7.910442999999999,3,2
2.75812,1.575385,8.896853,3,2
3.332729,2.576161,12.976573,3,2
-2.078167,-4.209007,-1.244985,3,3
-1.877054,-6.943185000000001,-1.915361,3,3
-5.473145,-10.730812,-1.077391,3,3
2.987964,-5.018246,1.647211,3,3
0.675165,-11.60709,-2.662352,3,3
-1.278504,-2.700659,0.924162,3,3
-4.424484,-10.726024,-1.082179,3,3
0.646435,-0.641646,-1.04866,3,3
-1.623269,-6.603208,0.071826,3,3
-4.323928,-2.671929,3.485958,3,3
-5.228936,-3.557784,-0.038307,3,3
-3.08852,-14.130578,0.215478,3,3
-3.021482,-8.39886,1.312023,3,3
-11.238382,-12.018892,-2.762909,3,3
-0.488417,-9.356541,0.11971,3,3
-7.675811,-17.00362,-1.5466540000000002,3,3
-0.521936,0.708684,-5.0517650000000005,3,3
-3.715801,-5.645528,0.670377,3,3
-1.666364,-9.121908,-2.753332,3,3
-6.354211,-5.717354,-0.579397,3,3
-3.940856,-12.717999,5.971139,3,3
-1.240196,-10.414778,-1.173159,3,3
-10.228029,-14.465767,-1.867477,3,3
-1.043872,-13.603854,-3.600879,3,3
-6.411672,-11.836933,-3.883395,3,3
-10.070012,-15.049952,-13.517663,3,3
-7.929596000000001,-12.253524,-0.263362,3,3
-1.929727,-2.806004,-1.795651,3,3
-4.458003,-6.780378999999999,1.580173,3,3
-4.13718,-4.429273,-1.517924,3,3
-1.273715,-5.353435,-0.641646,3,4
-0.794875,-9.160215,-0.1819589999999999,3,4
2.336741,-11.722012,-1.321599,3,4
-6.1578870000000006,-1.489193,-0.54109,3,4
-6.904877000000001,-20.159178,-0.866701,3,4
-1.958457,-8.978256,-4.625597,3,4
0.196325,-2.643199,-0.114922,3,4
-1.728614,-4.9943040000000005,-1.192312,3,4
0.746991,-5.238512999999999,-1.043872,3,4
-1.197101,-3.68707,2.882619,3,4
-0.344765,-9.696517,0.679953,3,4
-5.386954,-16.323667999999998,4.266468,3,4
-3.787627,-8.633492,0.895431,3,4
-2.30801,-13.445837,-2.834735,3,4
-0.545878,-3.653552,6.670246000000001,3,4
2.844312,-10.486604,-1.580173,3,4
2.566584,-10.323798,-1.16837,3,4
2.63841,-7.168239999999999,-0.71826,3,4
3.907337,-4.984728,-3.821146,3,4
0.354342,-9.56723,-5.7700260000000005,3,4
0.9912,-10.290278,-5.099648999999999,3,4
-2.389413,-12.220005,-6.330269,3,4
-1.7860740000000002,-18.737022,6.244078,3,4
4.644751,-11.018116,-1.04866,3,4
-2.269703,-2.782062,2.39899,3,4
1.479617,-9.251195,-0.857124,3,4
5.152323,-11.702858,-2.27928,3,4
1.637634,-22.720974,-10.491392,3,4
-2.346318,-3.270479,1.063026,3,4
-1.685518,-7.580042,-1.623269,3,4
-0.344765,-9.696517,0.679953,3,5
-5.386954,-16.323667999999998,4.266468,3,5
-3.787627,-8.633492,0.895431,3,5
-2.30801,-13.445837,-2.834735,3,5
-0.545878,-3.653552,6.670246000000001,3,5
2.844312,-10.486604,-1.580173,3,5
2.566584,-10.323798,-1.16837,3,5
2.63841,-7.168239999999999,-0.71826,3,5
3.907337,-4.984728,-3.821146,3,5
0.354342,-9.56723,-5.7700260000000005,3,5
0.9912,-10.290278,-5.099648999999999,3,5
-2.389413,-12.220005,-6.330269,3,5
-1.7860740000000002,-18.737022,6.244078,3,5
4.644751,-11.018116,-1.04866,3,5
-2.269703,-2.782062,2.39899,3,5
1.479617,-9.251195,-0.857124,3,5
5.152323,-11.702858,-2.27928,3,5
1.637634,-22.720974,-10.491392,3,5
-2.346318,-3.270479,1.063026,3,5
-1.685518,-7.580042,-1.623269,3,5
-1.80044,-7.465121000000001,-3.069367,3,5
-0.124498,-12.559982000000002,6.7516490000000005,3,5
1.7525560000000002,-17.501614,-3.801992,3,5
2.331953,-9.744401,-7.407660000000001,3,5
3.222596,-8.920795,-3.08852,3,5
-3.457227,-2.715025,0.148441,3,5
2.264915,-9.931149,-4.659116,3,5
0.9912,-10.903194,-8.183380999999999,3,5
2.226608,-8.044516999999999,-2.341529,3,5
-1.647211,-11.851298,6.775591,3,5
-0.842759,-6.119579,-1.61848,3,6
-1.814805,-7.259219,-1.043872,3,6
-0.617704,-6.301539,-1.067814,3,6
-1.685518,-8.403648,0.550666,3,6
2.48997,-15.964537,-0.8379709999999999,3,6
-0.483629,-15.078682,-6.253655,3,6
-2.633622,-17.927782,-5.453991,3,6
-2.312799,-15.825673000000002,9.706094,3,6
-0.6272810000000001,-14.772224,-5.3821650000000005,3,6
2.466028,-6.856992999999999,-4.477157,3,6
-4.67827,-6.397307,-3.993528,3,6
-1.838747,-9.935937,-3.1076740000000003,3,6
0.325611,-8.619126,-3.4428620000000003,3,6
-2.604891,-4.180276,-2.652775,3,6
-2.700659,-13.340492,-3.912125,3,6
1.642422,-8.130708,-8.681376,3,6
2.930503,-8.51857,-2.236184,3,6
-0.943315,-0.943315,0.842759,3,6
-0.057461,-7.536947,-3.112462,3,6
-2.240973,-4.735731,-0.8044520000000001,3,6
0.483629,-8.561666,-3.653552,3,6
8.2169,-11.386824,-0.1005559999999999,3,6
-0.124498,-9.442732,-0.842759,3,6
2.657564,-10.381259,0.665588,3,6
1.383849,-16.093823999999998,-1.479617,3,6
1.771709,-13.642160999999998,-8.920795,3,6
1.024718,-5.295974,-1.484405,3,6
2.628834,-4.697424,-3.892972,3,6
2.422932,-4.544194,1.604115,3,6
-0.229843,-7.383717999999999,-6.809108999999999,3,6
12.133814,-18.703505,-7.508216,3,7
6.588842999999999,-10.568007,-2.60968,3,7
7.996633999999999,-5.918466,-6.646304,3,7
0.2585739999999999,-8.657434,-2.351106,3,7
-1.94888,-5.003881,2.006341,3,7
1.364695,-8.054094000000001,-3.222595,3,7
2.0302830000000003,-13.613431,-2.0302830000000003,3,7
12.411542,-13.881581,-4.386177,3,7
4.879383,-13.110648,-3.5960910000000004,3,7
1.201889,-17.908628,0.004788,3,7
-6.847417,-16.74026,4.13718,3,7
-4.003105000000001,1.249773,10.716447,3,7
3.0502130000000003,-11.482592,-4.683058,3,7
8.532935,-14.571112,-11.492168,3,7
2.1883,-8.987833,-1.273715,3,7
1.101333,-3.648763,0.416591,3,7
4.276045,-9.346964,0.502782,3,7
-3.77805,-3.605668,2.475605,3,7
2.236184,-7.388506,-1.173159,3,7
-4.094085,-1.441309,2.13084,3,7
2.011129,-12.564771,0.8236049999999999,3,7
-0.071826,-13.733141,2.652776,3,7
1.996764,-6.062118,-6.210559,3,7
3.438074,-7.139508999999999,0.292093,3,7
12.650962,1.61848,10.716447,3,7
7.402872,-7.771578999999999,-4.127603,3,7
2.920926,-8.571242,-7.881711999999999,3,7
2.767697,-8.935161,-2.149993,3,7
-1.101333,-13.939042,-0.948104,3,7
1.532289,-6.2153480000000005,-5.928043,3,7
0.766145,-4.788403,-0.981623,3,8
0.02873,-6.545747,-0.6464340000000001,3,8
6.952762,-11.247959,0.344765,3,8
6.895301,-13.982138,-2.504335,3,8
-1.417367,-19.349937,0.177171,3,8
0.320823,-3.715801,-9.653421,3,8
-4.649539,-15.05474,1.192313,3,8
4.242526,-16.539145,-10.836157,3,8
6.789956,-6.947972999999999,-3.007117,3,8
0.933739,-4.606444000000001,-0.512359,3,8
3.2896330000000003,-7.469908999999999,-0.0430959999999999,3,8
-1.6519990000000002,-17.535133,-2.2505490000000004,3,8
-6.320692,-6.196194,1.896208,3,8
-1.331176,-17.956512,-0.632069,3,8
12.133814,-18.703505,-7.508216,3,8
6.588842999999999,-10.568007,-2.60968,3,8
7.996633999999999,-5.918466,-6.646304,3,8
0.2585739999999999,-8.657434,-2.351106,3,8
-1.94888,-5.003881,2.006341,3,8
1.364695,-8.054094000000001,-3.222595,3,8
2.0302830000000003,-13.613431,-2.0302830000000003,3,8
12.411542,-13.881581,-4.386177,3,8
4.879383,-13.110648,-3.5960910000000004,3,8
1.201889,-17.908628,0.004788,3,8
-6.847417,-16.74026,4.13718,3,8
-4.003105000000001,1.249773,10.716447,3,8
3.0502130000000003,-11.482592,-4.683058,3,8
8.532935,-14.571112,-11.492168,3,8
2.1883,-8.987833,-1.273715,3,8
1.101333,-3.648763,0.416591,3,8
1.972822,-5.6982,-0.081403,3,9
0.727837,-6.445191,-1.2162540000000002,3,9
3.696648,-12.248735,1.374272,3,9
1.1300629999999998,-6.368576,-1.235408,3,9
2.394202,-17.520767000000003,0.78051,3,9
1.187524,-4.639962000000001,-2.8491,3,9
1.072602,-12.325351,0.009577,3,9
1.867477,-3.950433,-1.288081,3,9
4.88896,-7.010222,-0.062249,3,9
4.467581,-9.672575,-1.13964,3,9
3.548207,-9.385271,-1.288081,3,9
3.438074,-16.864758,-0.3304,3,9
3.169923,-2.686294,-4.031835,3,9
0.416591,-16.237476,-3.342306,3,9
12.196063,-21.049822,-11.789049,3,9
6.291962,-11.525687,-0.995988,3,9
5.535394,-2.72939,-8.528147,3,9
1.359907,-7.752425,0.641646,3,9
2.853889,-10.012551,-0.411803,3,9
-6.354211,-5.521029,-4.673482,3,9
4.76925,-12.799402,1.297657,3,9
1.685518,-7.747636999999999,-1.556231,3,9
5.133168,-10.261548,-0.8475469999999999,3,9
2.777274,-5.204994,-2.590526,3,9
2.619257,-9.203311,-1.537077,3,9
1.417368,-17.48246,0.234632,3,9
-4.76925,-9.591172,6.277597,3,9
6.56969,3.016694,1.824382,3,9
3.572149,1.891419,7.192182000000001,3,9
3.423709,3.069367,9.504981,3,9
-5.473145,-10.730812,-1.077391,3,10
2.987964,-5.018246,1.647211,3,10
0.675165,-11.60709,-2.662352,3,10
-1.278504,-2.700659,0.924162,3,10
-4.424484,-10.726024,-1.082179,3,10
0.646435,-0.641646,-1.04866,3,10
-1.623269,-6.603208,0.071826,3,10
-4.323928,-2.671929,3.485958,3,10
-5.228936,-3.557784,-0.038307,3,10
-3.08852,-14.130578,0.215478,3,10
-3.021482,-8.39886,1.312023,3,10
-11.238382,-12.018892,-2.762909,3,10
-0.488417,-9.356541,0.11971,3,10
-7.675811,-17.00362,-1.5466540000000002,3,10
-0.521936,0.708684,-5.0517650000000005,3,10
-3.715801,-5.645528,0.670377,3,10
-1.666364,-9.121908,-2.753332,3,10
-6.354211,-5.717354,-0.579397,3,10
-3.940856,-12.717999,5.971139,3,10
-1.240196,-10.414778,-1.173159,3,10
-10.228029,-14.465767,-1.867477,3,10
-1.043872,-13.603854,-3.600879,3,10
-6.411672,-11.836933,-3.883395,3,10
-10.070012,-15.049952,-13.517663,3,10
-7.929596000000001,-12.253524,-0.263362,3,10
-1.929727,-2.806004,-1.795651,3,10
-4.458003,-6.780378999999999,1.580173,3,10
-4.13718,-4.429273,-1.517924,3,10
1.82917,-9.313444,-0.3304,3,10
-7.350199000000001,-12.670115,-1.4604629999999998,3,10
-1.996764,1.393425,2.652776,3,11
-4.189853,-10.275913,1.1300629999999998,3,11
0.8379709999999999,-11.693281,-1.1300629999999998,3,11
-3.122039,-11.985373,-1.393425,3,11
-2.078167,-4.209007,-1.244985,3,11
-1.877054,-6.943185000000001,-1.915361,3,11
-5.473145,-10.730812,-1.077391,3,11
2.987964,-5.018246,1.647211,3,11
0.675165,-11.60709,-2.662352,3,11
-1.278504,-2.700659,0.924162,3,11
-4.424484,-10.726024,-1.082179,3,11
0.646435,-0.641646,-1.04866,3,11
-1.623269,-6.603208,0.071826,3,11
-4.323928,-2.671929,3.485958,3,11
-5.228936,-3.557784,-0.038307,3,11
-3.08852,-14.130578,0.215478,3,11
-3.021482,-8.39886,1.312023,3,11
-11.238382,-12.018892,-2.762909,3,11
-0.488417,-9.356541,0.11971,3,11
-7.675811,-17.00362,-1.5466540000000002,3,11
-0.521936,0.708684,-5.0517650000000005,3,11
-3.715801,-5.645528,0.670377,3,11
-1.666364,-9.121908,-2.753332,3,11
-6.354211,-5.717354,-0.579397,3,11
-3.940856,-12.717999,5.971139,3,11
-1.240196,-10.414778,-1.173159,3,11
-10.228029,-14.465767,-1.867477,3,11
-1.043872,-13.603854,-3.600879,3,11
-6.411672,-11.836933,-3.883395,3,11
-10.070012,-15.049952,-13.517663,3,11
-0.153229,-10.213664,-1.7525560000000002,3,12
0.6272810000000001,-7.627927000000001,-3.270479,3,12
1.177947,-5.415684,-2.059013,3,12
3.466804,-5.406107,-2.633622,3,12
0.057461,-6.445191,-3.069367,3,12
5.88016,-6.900089,-3.509899,3,12
4.774039,-9.251195,-2.600103,3,12
0.766145,-4.089296,-0.833182,3,12
5.865794,-9.840169,-1.23062,3,12
-1.446098,-4.903325,-0.512359,3,12
2.600103,-7.929596000000001,0.5841850000000001,3,12
-1.766921,-5.295974,0.766145,3,12
0.430956,-7.699753,-0.579397,3,12
0.8475469999999999,-9.337387,-3.797204,3,12
-1.8579,-7.623138000000001,9.021352,3,12
0.272939,-11.860875,-2.920926,3,12
2.499547,-7.843405000000001,-3.620033,3,12
-4.76925,-9.648633,-12.382812,3,12
2.475605,-9.993398,-6.62715,3,12
2.748544,-6.9096660000000005,-3.39019,3,12
1.264139,-7.517792999999999,0.493206,3,12
-1.086968,-5.717354,2.499547,3,12
-2.614468,-8.508992999999998,-0.071826,3,12
-1.522712,-16.82645,-2.791639,3,12
4.31914,-13.091495,-0.411803,3,12
0.430956,-15.255854,-5.688623000000001,3,12
5.061342,-14.508862,-22.663513,3,12
2.82037,-9.710882000000002,-3.806781,3,12
2.753332,-11.559206,-10.630256,3,12
0.9912,-8.935161,-0.1723829999999999,3,12
-2.604891,-7.661445,-0.11971,3,13
-1.40779,-13.340492,-3.916914,3,13
-2.255338,-14.398729,-2.801216,3,13
-7.517792999999999,-11.947066,-1.656788,3,13
-1.996764,1.393425,2.652776,3,13
-4.189853,-10.275913,1.1300629999999998,3,13
0.8379709999999999,-11.693281,-1.1300629999999998,3,13
-3.122039,-11.985373,-1.393425,3,13
-2.078167,-4.209007,-1.244985,3,13
-1.877054,-6.943185000000001,-1.915361,3,13
-5.473145,-10.730812,-1.077391,3,13
2.987964,-5.018246,1.647211,3,13
0.675165,-11.60709,-2.662352,3,13
-1.278504,-2.700659,0.924162,3,13
-4.424484,-10.726024,-1.082179,3,13
0.646435,-0.641646,-1.04866,3,13
-1.623269,-6.603208,0.071826,3,13
-4.323928,-2.671929,3.485958,3,13
-5.228936,-3.557784,-0.038307,3,13
-3.08852,-14.130578,0.215478,3,13
-3.021482,-8.39886,1.312023,3,13
-11.238382,-12.018892,-2.762909,3,13
-0.488417,-9.356541,0.11971,3,13
-7.675811,-17.00362,-1.5466540000000002,3,13
-0.521936,0.708684,-5.0517650000000005,3,13
-3.715801,-5.645528,0.670377,3,13
-1.666364,-9.121908,-2.753332,3,13
-6.354211,-5.717354,-0.579397,3,13
-3.940856,-12.717999,5.971139,3,13
-1.240196,-10.414778,-1.173159,3,13
4.697424,-9.074024,-0.866701,3,14
-1.5466540000000002,-1.508347,0.3304,3,14
3.830723,-12.014104,-1.158794,3,14
2.418144,-9.002198,0.8236049999999999,3,14
3.529053,-7.436389999999999,1.905785,3,14
0.986411,-17.3005,-0.3830719999999999,3,14
-4.582502,-7.862558,9.792285,3,14
1.910573,-5.985504,-1.599327,3,14
4.458004,-6.914453999999999,-5.401319,3,14
2.475605,-8.705316999999999,-0.3734949999999999,3,14
-1.120486,-5.803545,2.044648,3,14
-2.39899,-8.451532,4.055778,3,14
5.64074,-8.566454,1.029507,3,14
-0.8283940000000001,-0.483629,10.582372,3,14
4.491523,-7.393294999999999,-1.58975,3,14
4.97994,-10.127473,-14.422671,3,14
1.106121,-7.115567,2.240973,3,14
1.355118,-8.667010000000001,1.479617,3,14
2.149993,-7.474697,5.93762,3,14
8.288725999999999,-10.783484,-3.165135,3,14
-0.991199,-19.416977,4.074930999999999,3,14
7.062895,-8.063671000000001,-0.972046,3,14
0.766145,-4.788403,-0.981623,3,14
0.02873,-6.545747,-0.6464340000000001,3,14
6.952762,-11.247959,0.344765,3,14
6.895301,-13.982138,-2.504335,3,14
-1.417367,-19.349937,0.177171,3,14
0.320823,-3.715801,-9.653421,3,14
-4.649539,-15.05474,1.192313,3,14
4.242526,-16.539145,-10.836157,3,14
-2.269703,-2.782062,2.39899,3,15
1.479617,-9.251195,-0.857124,3,15
5.152323,-11.702858,-2.27928,3,15
1.637634,-22.720974,-10.491392,3,15
-2.346318,-3.270479,1.063026,3,15
-1.685518,-7.580042,-1.623269,3,15
-1.80044,-7.465121000000001,-3.069367,3,15
-0.124498,-12.559982000000002,6.7516490000000005,3,15
1.7525560000000002,-17.501614,-3.801992,3,15
2.331953,-9.744401,-7.407660000000001,3,15
3.222596,-8.920795,-3.08852,3,15
-3.457227,-2.715025,0.148441,3,15
2.264915,-9.931149,-4.659116,3,15
0.9912,-10.903194,-8.183380999999999,3,15
2.226608,-8.044516999999999,-2.341529,3,15
-1.647211,-11.851298,6.775591,3,15
8.39886,-13.771448,-2.566584,3,15
2.494758,-10.328587,-8.690952000000001,3,15
0.8236049999999999,-7.383717999999999,-3.5960910000000004,3,15
-6.224924,-12.23437,-26.230873,3,15
1.273715,-6.502651,-3.572149,3,15
0.7230489999999999,-6.871359,-4.079719,3,15
2.226608,-7.575253999999999,-12.555194,3,15
3.284845,-11.96622,-3.892972,3,15
3.945645,-11.760319,-8.09719,3,15
2.801216,-9.32781,-5.133168,3,15
-1.35033,-3.380613,-0.057461,3,15
-0.253785,-6.373365,0.205901,3,15
-1.608903,-6.502651,-3.998317,3,15
1.685518,-10.146626,-1.115698,3,15
0.665588,-6.809108999999999,-1.939303,3,16
-2.011129,-4.232949,-0.919373,3,16
2.432509,-10.304645,-1.671153,3,16
0.588974,-5.999869,-2.327164,3,16
1.431733,-8.27436,-1.73819,3,16
-1.7860740000000002,-7.996633,-3.3279400000000003,3,16
0.885855,-11.468226,5.544971,3,16
-0.770933,-21.74414,-3.605668,3,16
6.670246000000001,-13.206416,-4.611232,3,16
0.675165,-17.343597,-7.225700999999999,3,16
7.771578999999999,-8.580819,12.650962,3,16
3.873819,-6.162675,-6.210559,3,16
3.193865,-12.392388,2.5953150000000003,3,16
4.951209,-25.828648,-7.991845,3,16
7.484275,-14.887146,2.973599,3,16
4.797981,-19.560625,-9.227253,3,16
-0.933739,-9.188946,10.007763,3,16
4.347871,-7.354986999999999,-6.277597,3,16
